s,sLabel,freebaseID
http://www.wikidata.org/entity/Q4920978,Black Hispanic and Latino Americans,/m/03hjx6f
http://www.wikidata.org/entity/Q5147919,Colombian Australian,/m/047bp1r
http://www.wikidata.org/entity/Q5601752,Greek Canadians,/m/067lrj
http://www.wikidata.org/entity/Q6122670,Māori,/m/05748
http://www.wikidata.org/entity/Q7125804,Pakistani Canadians,/m/08xbxs
http://www.wikidata.org/entity/Q245507,Quebeckers,/m/06bkf
http://www.wikidata.org/entity/Q7273097,Québécois,/m/06bkf
http://www.wikidata.org/entity/Q7697877,Telugu Brahmins,/m/0828vj
http://www.wikidata.org/entity/Q10859769,Iranians in the United Kingdom,/m/02q206y
http://www.wikidata.org/entity/Q16197531,Rusyn American,/m/02p_gby
http://www.wikidata.org/entity/Q18973,Georgians,/m/029q52
http://www.wikidata.org/entity/Q36692,Zhuang people,/m/01gby2
http://www.wikidata.org/entity/Q50001,Italians,/m/0222qb
http://www.wikidata.org/entity/Q126756,Basque people,/m/01h4n
http://www.wikidata.org/entity/Q235155,White people,/m/02ctzb
http://www.wikidata.org/entity/Q276879,Korean Americans,/m/01j2qv
http://www.wikidata.org/entity/Q324216,Austrian Americans,/m/0ffj5g
http://www.wikidata.org/entity/Q392316,First Nations,/m/01trsl
http://www.wikidata.org/entity/Q415054,Acadians,/m/0c41n
http://www.wikidata.org/entity/Q472834,Thai people,/m/07wsyr
http://www.wikidata.org/entity/Q509590,Corsicans,/m/0g5rkt4
http://www.wikidata.org/entity/Q518188,Czech Americans,/m/0h2138
http://www.wikidata.org/entity/Q719549,Rohilla,/m/0665pp
http://www.wikidata.org/entity/Q828398,Hutsuls,/m/03nz70
http://www.wikidata.org/entity/Q846570,Americans,/m/04q7gbh
http://www.wikidata.org/entity/Q853581,names of the Greeks,/m/0bkbz
http://www.wikidata.org/entity/Q1003039,Chinese Singaporeans,/m/04_hr_
http://www.wikidata.org/entity/Q1087095,Arabs in Bulgaria,/m/051x6yk
http://www.wikidata.org/entity/Q1189552,Polish Americans,/m/022dp5
http://www.wikidata.org/entity/Q1276073,Chileans,/m/05c60ml
http://www.wikidata.org/entity/Q1265028,Marathi people,/m/0cqgdq
http://www.wikidata.org/entity/Q1790886,Cuban Americans,/m/04dbw3
http://www.wikidata.org/entity/Q1891793,Moroccans,/m/0c3wsgg
http://www.wikidata.org/entity/Q1976298,Ukrainian Canadians,/m/03zcwh
http://www.wikidata.org/entity/Q2365041,Argentines,/m/09gk_6h
http://www.wikidata.org/entity/Q2606511,Lebanese people,/m/0466nw8
http://www.wikidata.org/entity/Q2643509,Indian Americans,/m/04gfy7
http://www.wikidata.org/entity/Q3015339,Danish Americans,/m/0dqqwy
http://www.wikidata.org/entity/Q3154490,Irish Canadians,/m/033njm
http://www.wikidata.org/entity/Q3267812,Portuguese Americans,/m/02p4q5p
http://www.wikidata.org/entity/Q3244280,Black Britons,/m/097nms
http://www.wikidata.org/entity/Q4172847,Filipino people,/m/071x0k
http://www.wikidata.org/entity/Q4690182,Afro-Guyanese,/m/09c8kp
http://www.wikidata.org/entity/Q4770873,Dene,/m/0301xt
http://www.wikidata.org/entity/Q4793325,Armenians in Italy,/m/04lfc70
http://www.wikidata.org/entity/Q4842385,Bahamian Americans,/m/07lv5x
http://www.wikidata.org/entity/Q4999416,Burmese Americans,/m/07g8yp
http://www.wikidata.org/entity/Q5030924,Danish Canadians,/m/0960kn
http://www.wikidata.org/entity/Q5448617,Filipino mestizo,/m/09cd0m
http://www.wikidata.org/entity/Q5622783,Guyanese Americans,/m/0bh91q8
http://www.wikidata.org/entity/Q6071674,Irish migration to Great Britain,/m/02g7sp
http://www.wikidata.org/entity/Q6365797,Kanyakubja Brahmins,/m/02y_9mh
http://www.wikidata.org/entity/Q6363876,Karnataka Brahmins,/m/08cjt2
http://www.wikidata.org/entity/Q6496280,Latin American British,/m/07s9g04
http://www.wikidata.org/entity/Q6894521,Mohyal,/m/0bfrrj
http://www.wikidata.org/entity/Q7434888,Eurasian,/m/017sq0
http://www.wikidata.org/entity/Q7416717,Chilean American,/m/026c9dq
http://www.wikidata.org/entity/Q7565427,South African American,/m/04lhn7b
http://www.wikidata.org/entity/Q7586018,Sri Lankan Americans,/m/0d8qls
http://www.wikidata.org/entity/Q16149615,African-American Jews,/m/04znbg
http://www.wikidata.org/entity/Q203178,Kikuyu,/m/0180zw
http://www.wikidata.org/entity/Q25467191,Q25467191,/m/0180zw
http://www.wikidata.org/entity/Q1026,Poles,/m/01p7s6
http://www.wikidata.org/entity/Q42884,Germans,/m/013xrm
http://www.wikidata.org/entity/Q47140,Brahmin caste,/m/01kg2v
http://www.wikidata.org/entity/Q44614,Taiwanese Americans,/m/01nbcy
http://www.wikidata.org/entity/Q45315,Berber,/m/0cx3p
http://www.wikidata.org/entity/Q107434,Sioux,/m/0fk3s
http://www.wikidata.org/entity/Q133255,Bulgarians,/m/013s41
http://www.wikidata.org/entity/Q179248,Albanians,/m/01267
http://www.wikidata.org/entity/Q171336,Slovaks,/m/01n94b
http://www.wikidata.org/entity/Q170284,Finns,/m/0318mh
http://www.wikidata.org/entity/Q178630,Portuguese,/m/03vghh
http://www.wikidata.org/entity/Q187985,Tibetan people,/m/01l0ty
http://www.wikidata.org/entity/Q201111,Aromanians,/m/01vsch
http://www.wikidata.org/entity/Q244504,Catalans,/m/07d_p8
http://www.wikidata.org/entity/Q262457,Métis,/m/0c50f
http://www.wikidata.org/entity/Q321090,German Brazilians,/m/04118b
http://www.wikidata.org/entity/Q322951,Cheyennes,/m/0fk55
http://www.wikidata.org/entity/Q388467,Afro-Cuban,/m/03yk6g
http://www.wikidata.org/entity/Q485150,Romanians,/m/01vr3v
http://www.wikidata.org/entity/Q484464,Koreans,/m/01xhh5
http://www.wikidata.org/entity/Q702718,British Jews,/m/0dj8k3
http://www.wikidata.org/entity/Q785378,White South Africans,/m/0ckk60
http://www.wikidata.org/entity/Q875556,Israelis,/m/018s6c
http://www.wikidata.org/entity/Q893594,Puerto Ricans,/m/09v5bdn
http://www.wikidata.org/entity/Q925034,Indian diaspora,/m/01hphz
http://www.wikidata.org/entity/Q928333,Spaniards in Mexico,/m/042199j
http://www.wikidata.org/entity/Q940348,Bosniaks,/m/013s2p
http://www.wikidata.org/entity/Q1061510,Egyptians,/m/025tvhm
http://www.wikidata.org/entity/Q1113048,Iranian Americans,/m/06y24j
http://www.wikidata.org/entity/Q1196649,Kashmiri people,/m/0b79c7
http://www.wikidata.org/entity/Q1369944,French Americans,/m/06v41q
